"","calBP","PrDens"
"1080",10921,0
"1081",10920,0
"1082",10919,0
"1083",10918,0
"1084",10917,0
"1085",10916,0
"1086",10915,0
"1087",10914,0
"1088",10913,0
"1089",10912,0
"1090",10911,0
"1091",10910,0
"1092",10909,0
"1093",10908,0
"1094",10907,0
"1095",10906,0
"1096",10905,0
"1097",10904,0
"1098",10903,0
"1099",10902,0
"1100",10901,0
"1101",10900,0
"1102",10899,0
"1103",10898,0
"1104",10897,0
"1105",10896,0
"1106",10895,0
"1107",10894,0
"1108",10893,0
"1109",10892,0
"1110",10891,0
"1111",10890,0
"1112",10889,0
"1113",10888,0
"1114",10887,0
"1115",10886,0
"1116",10885,0
"1117",10884,0
"1118",10883,0
"1119",10882,0
"1120",10881,0
"1121",10880,0
"1122",10879,0
"1123",10878,0
"1124",10877,0
"1125",10876,0
"1126",10875,0
"1127",10874,0
"1128",10873,0
"1129",10872,0
"1130",10871,0
"1131",10870,0
"1132",10869,0
"1133",10868,0
"1134",10867,0
"1135",10866,0
"1136",10865,0
"1137",10864,0
"1138",10863,0
"1139",10862,0
"1140",10861,0
"1141",10860,0
"1142",10859,0
"1143",10858,0
"1144",10857,0
"1145",10856,0
"1146",10855,0
"1147",10854,0
"1148",10853,0
"1149",10852,0
"1150",10851,0
"1151",10850,0
"1152",10849,0
"1153",10848,0
"1154",10847,0
"1155",10846,0
"1156",10845,0
"1157",10844,0
"1158",10843,0
"1159",10842,0
"1160",10841,0
"1161",10840,0
"1162",10839,0
"1163",10838,0
"1164",10837,0
"1165",10836,0
"1166",10835,0
"1167",10834,0
"1168",10833,0
"1169",10832,0
"1170",10831,0
"1171",10830,0
"1172",10829,0
"1173",10828,0
"1174",10827,0
"1175",10826,0
"1176",10825,0
"1177",10824,0
"1178",10823,0
"1179",10822,0
"1180",10821,0
"1181",10820,0
"1182",10819,0
"1183",10818,0
"1184",10817,0
"1185",10816,0
"1186",10815,0
"1187",10814,0
"1188",10813,0
"1189",10812,0
"1190",10811,0
"1191",10810,0
"1192",10809,0
"1193",10808,0
"1194",10807,0
"1195",10806,0
"1196",10805,0
"1197",10804,0
"1198",10803,0
"1199",10802,0
"1200",10801,0
"1201",10800,0
"1202",10799,0
"1203",10798,0
"1204",10797,0
"1205",10796,0
"1206",10795,0
"1207",10794,0
"1208",10793,0
"1209",10792,0
"1210",10791,0
"1211",10790,0
"1212",10789,0
"1213",10788,0
"1214",10787,0
"1215",10786,0
"1216",10785,0
"1217",10784,0
"1218",10783,0
"1219",10782,0
"1220",10781,0
"1221",10780,0
"1222",10779,0
"1223",10778,0
"1224",10777,0
"1225",10776,0
"1226",10775,0
"1227",10774,0
"1228",10773,0
"1229",10772,0
"1230",10771,0
"1231",10770,0
"1232",10769,0
"1233",10768,0
"1234",10767,0
"1235",10766,0
"1236",10765,0
"1237",10764,0
"1238",10763,0
"1239",10762,0
"1240",10761,0
"1241",10760,0
"1242",10759,0
"1243",10758,0
"1244",10757,0
"1245",10756,0
"1246",10755,0
"1247",10754,0
"1248",10753,0
"1249",10752,0
"1250",10751,0
"1251",10750,0
"1252",10749,0
"1253",10748,2.20542778338469e-10
"1254",10747,4.64773045680224e-10
"1255",10746,7.35096859890086e-10
"1256",10745,1.03414616347816e-09
"1257",10744,1.37279931646743e-09
"1258",10743,1.75569201494447e-09
"1259",10742,2.1879171251258e-09
"1260",10741,2.67505875371274e-09
"1261",10740,3.22322754433707e-09
"1262",10739,3.81348964521116e-09
"1263",10738,4.44873332055043e-09
"1264",10737,5.13201638631387e-09
"1265",10736,5.86657392846719e-09
"1266",10735,6.65582620672195e-09
"1267",10734,7.47794228057298e-09
"1268",10733,8.33413918539093e-09
"1269",10732,9.22567210938728e-09
"1270",10731,1.01538352923177e-08
"1271",10730,1.11199629330941e-08
"1272",10729,1.21053846245132e-08
"1273",10728,1.31104630981513e-08
"1274",10727,1.41355661904296e-08
"1275",10726,1.51810668606132e-08
"1276",10725,1.62473432072607e-08
"1277",10724,1.72928438774443e-08
"1278",10723,1.83179469697226e-08
"1279",10722,1.93230254433607e-08
"1280",10721,2.03084471347798e-08
"1281",10720,2.12745747755562e-08
"1282",10719,2.22310840010913e-08
"1283",10718,2.31780601049454e-08
"1284",10717,2.41155877402193e-08
"1285",10716,2.50437509231497e-08
"1286",10715,2.59626330366952e-08
"1287",10714,2.69191422622304e-08
"1288",10713,2.79146433687605e-08
"1289",10712,2.89505426928323e-08
"1290",10711,3.00282890682337e-08
"1291",10710,3.11493747627642e-08
"1292",10709,3.23743499075308e-08
"1293",10708,3.37120388271884e-08
"1294",10707,3.51719215218132e-08
"1295",10706,3.67641718704369e-08
"1296",10705,3.84996969083619e-08
"1297",10704,4.04953116446595e-08
"1298",10703,4.27842273737264e-08
"1299",10702,4.54029541412761e-08
"1300",10701,4.83914857515563e-08
"1301",10700,5.17934739503779e-08
"1302",10699,5.56805098160455e-08
"1303",10698,6.01081044754474e-08
"1304",10697,6.51360018789166e-08
"1305",10696,7.08282000387772e-08
"1306",10695,7.72529257530144e-08
"1307",10694,8.41138030643589e-08
"1308",10693,9.14332494999318e-08
"1309",10692,9.92342730867748e-08
"1310",10691,1.07540446756257e-07
"1311",10690,1.1637587939665e-07
"1312",10689,1.249853212026e-07
"1313",10688,1.33372948413497e-07
"1314",10687,1.41542916382715e-07
"1315",10686,1.49499357759309e-07
"1316",10685,1.57246380721155e-07
"1317",10684,1.64513149816838e-07
"1318",10683,1.71322768882442e-07
"1319",10682,1.77697737507787e-07
"1320",10681,1.8365992932551e-07
"1321",10680,1.89230573567051e-07
"1322",10679,1.94376032514833e-07
"1323",10678,1.9912344709261e-07
"1324",10677,2.03498713965143e-07
"1325",10676,2.07526499012415e-07
"1326",10675,2.11230255030247e-07
"1327",10674,2.14647779572682e-07
"1328",10673,2.17800108702539e-07
"1329",10672,2.20706896121356e-07
"1330",10671,2.23386482804237e-07
"1331",10670,2.25855965807657e-07
"1332",10669,2.28059806005899e-07
"1333",10668,2.30022259904209e-07
"1334",10667,2.31765926985423e-07
"1335",10666,2.33311794788978e-07
"1336",10665,2.34679291397349e-07
"1337",10664,2.35982041432648e-07
"1338",10663,2.37222763527622e-07
"1339",10662,2.38404080723706e-07
"1340",10661,2.39528522888204e-07
"1341",10660,2.40598529117404e-07
"1342",10659,2.41722129768489e-07
"1343",10658,2.42901625684475e-07
